name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Pseudomonas aeruginosa GENE fimV,,-,0.56,389772.0,56.68,56.68,530
Pseudomonas aeruginosa GENE fleR,,-,0.56,386391.0,55.36,55.36,440
Pseudomonas aeruginosa GENE vgrG1,,-,0.56,385335.0,57.59,57.59,414
Pseudomonas aeruginosa GENE exoT,,-,0.55,383967.0,58.16,58.16,389
Pseudomonas aeruginosa GENE pilT,,-,0.55,382767.0,62.86,62.86,271
Pseudomonas aeruginosa GENE rhlL,,-,0.55,381518.0,58.58,58.58,240
Pseudomonas aeruginosa GENE fliO,,-,0.55,381028.0,72.15,72.15,111
Pseudomonas aeruginosa GENE flgE,,-,0.54,376625.0,58.35,58.35,374
Pseudomonas aeruginosa GENE pilE,,-,0.54,375896.0,71.54,71.54,133
Pseudomonas aeruginosa GENE fimT,,-,0.54,371506.0,68.15,68.15,148
Pseudomonas aeruginosa GeneID PAP4746,,-,0.53,368579.0,63.04,63.04,220
Pseudomonas aeruginosa GENE phzM,,-,0.53,366712.0,59.2,59.2,286
Pseudomonas aeruginosa GeneID PA0072,,-,0.51,356069.0,62.85,62.85,206
Pseudomonas aeruginosa GENE pilG,,-,0.51,355753.0,74.19,74.19,96
Pseudomonas aeruginosa GENE pchC,,-,0.51,350508.0,60.12,60.12,183
Pseudomonas aeruginosa GeneID PA0087,,-,0.51,349795.0,65.22,65.22,130
Pseudomonas aeruginosa GeneID PA0086,,-,0.5,348384.0,56.74,56.74,233
Pseudomonas aeruginosa GeneID PA0088,,-,0.5,347941.0,52.87,52.87,410
Pseudomonas aeruginosa GENE algX,,-,0.5,346546.0,57.66,57.66,270
Pseudomonas aeruginosa GENE waaC,,-,0.49,341536.0,51.22,51.22,290
Pseudomonas aeruginosa GENE flhF,,-,0.49,340609.0,53.29,53.29,299
Pseudomonas aeruginosa GENE pchB,,-,0.49,337809.0,77.92,77.92,61
Pseudomonas aeruginosa GENE rhlR,,-,0.49,337139.0,57.71,57.71,199
Pseudomonas aeruginosa GENE pilP,,-,0.48,334581.0,65.24,65.24,128
Pseudomonas aeruginosa GENE xcpV,,-,0.48,330596.0,67.0,67.0,98
Pseudomonas aeruginosa GENE pilI,,-,0.47,326629.0,56.72,56.72,157
Pseudomonas aeruginosa GENE algA,,-,0.47,325812.0,48.74,48.74,388
Pseudomonas aeruginosa GENE xcpR,,-,0.46,318357.0,52.17,52.17,267
Pseudomonas aeruginosa GENE pilK,,-,0.46,316689.0,51.93,51.93,228
Pseudomonas aeruginosa GeneID PA0076,,-,0.45,311262.0,61.25,61.25,121
Pseudomonas aeruginosa GeneID PAP1713,,-,0.45,309411.0,62.5,62.5,98
Pseudomonas aeruginosa GENE pchR,,-,0.44,306656.0,50.69,50.69,213
Pseudomonas aeruginosa GENE flgD,,-,0.44,305943.0,55.96,55.96,159
Pseudomonas aeruginosa GENE lasB,,-,0.42,291974.0,52.15,52.15,202
Pseudomonas aeruginosa GeneID PA0082,,-,0.42,288398.0,49.02,49.02,210
Pseudomonas aeruginosa GENE pchG,,-,0.41,283388.0,44.87,44.87,246
Pseudomonas aeruginosa GENE pchI,,-,0.4,279061.0,44.94,44.94,259
Pseudomonas aeruginosa GENE fliH,,-,0.4,276044.0,46.67,46.67,190
Pseudomonas aeruginosa GENE algU,,-,0.4,275331.0,51.01,51.01,149
Pseudomonas aeruginosa GENE flgG,,-,0.4,275223.0,47.95,47.95,190
Pseudomonas aeruginosa GENE pilF,,-,0.38,262533.0,51.79,51.79,125
Pseudomonas aeruginosa GENE algP,,-,0.38,260344.0,50.54,50.54,96
Pseudomonas aeruginosa GENE pilQ,,-,0.38,260215.0,40.46,40.46,372
Pseudomonas aeruginosa GENE rhlA,,-,0.37,259225.0,45.38,45.38,188
Pseudomonas aeruginosa GENE flgJ,,-,0.35,241739.0,40.27,40.27,216
Pseudomonas aeruginosa GENE flgH,,-,0.35,240365.0,47.21,47.21,120
Pseudomonas aeruginosa GeneID PA0081,,-,0.34,239284.0,43.21,43.21,190
Pseudomonas aeruginosa GENE pilY2,,-,0.34,238493.0,52.04,52.04,72
Pseudomonas aeruginosa GENE fliN,,-,0.34,236252.0,41.73,41.73,132
Pseudomonas aeruginosa GENE pilH,,-,0.33,231817.0,49.54,49.54,78
Pseudomonas aeruginosa GENE mucC,,-,0.32,220390.0,42.99,42.99,94
Pseudomonas aeruginosa GENE chpC,,-,0.32,219202.0,43.2,43.2,98
Pseudomonas aeruginosa GeneID PA0080,,-,0.28,193186.0,46.91,46.91,48
Pseudomonas aeruginosa GENE flgC,,-,0.24,169585.0,40.62,40.62,52
Staphylococcus aureus GI 33390919,,-,5.05,3502072.0,88.31,81.91,3943
Staphylococcus aureus GENE qacC,,-,9.09,6297413.0,100.0,100.0,5667
Staphylococcus aureus GI 33390966,,-,2.3,1596861.0,91.81,91.81,2780
Staphylococcus aureus GI 33390965,,-,2.13,1477094.0,85.14,85.14,4404
Staphylococcus aureus GI 33390964,,-,0.66,454976.0,47.98,47.98,462
Staphylococcus aureus GI 33390947,,-,0.36,249189.0,74.19,74.19,23
Staphylococcus lentus GENE ermC,,-,0.6,416725.0,70.27,70.27,278
Staphylococcus lentus GENE repL,,-,0.53,366344.0,62.5,62.5,215
Proteus mirabilis GENE tnpA,,-,0.46,321888.0,100.0,100.0,20
Klebsiella pneumoniae GENE tnpA,,-,0.81,559994.0,83.41,83.41,355
Streptococcus pyogenes GENE msrD,,-,0.97,670091.0,59.27,59.27,1497
Streptococcus pyogenes GI 52345271,,-,0.77,536020.0,68.97,68.97,387
Bacteroides vulgatus GI 33413459,,-,0.23,159560.0,41.05,41.05,39
