name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GeneID SASa0736,,-,0.23,913478.0,90.61,90.61,1672
Staphylococcus aureus GENE cap5H,,-,0.22,890324.0,78.8,78.8,1561
Staphylococcus aureus GI 33390939,,-,0.22,877175.0,52.38,52.38,312
Staphylococcus aureus GENE nuc,,-,0.21,844174.0,65.71,65.71,3026
Staphylococcus aureus GeneID SASa0734,,-,0.2,805783.0,85.07,85.07,1225
Staphylococcus aureus GENE esxB,,-,0.2,794039.0,70.87,70.87,951
Staphylococcus aureus GENE cap5I,,-,0.19,754640.0,60.55,60.55,2791
Staphylococcus aureus GENE sdrH,,-,0.18,739466.0,69.75,69.75,1724
Staphylococcus aureus GeneID SASa0733,,-,0.17,696311.0,79.09,79.09,897
Staphylococcus aureus GeneID SAS1014,,-,0.17,682274.0,86.29,86.29,724
Staphylococcus aureus GENE isdD,,-,0.17,664441.0,70.62,70.62,1287
Staphylococcus aureus GENE sspC,,-,0.16,653385.0,52.21,52.21,1103
Staphylococcus aureus GENE scn,,-,0.16,632268.0,82.91,82.91,457
Staphylococcus aureus GeneID SAS1015,,-,0.15,620002.0,83.97,83.97,370
Staphylococcus aureus GeneID SAS1010,,-,0.14,567780.0,79.57,79.57,471
Staphylococcus aureus GI 33390947,,-,0.14,552667.0,90.32,90.32,103
Staphylococcus aureus GENE essA,,-,0.14,544386.0,49.06,49.06,945
Staphylococcus aureus GENE set6,,-,0.14,540820.0,48.42,40.53,366
Staphylococcus aureus GENE esxA,,-,0.14,539507.0,81.13,81.13,292
Staphylococcus aureus GENE sak,,-,0.13,523208.0,59.94,59.94,695
Staphylococcus aureus GENE ebpS,,-,0.12,473820.0,40.28,40.28,3322
Staphylococcus aureus GENE traD,,-,0.1,408351.0,52.07,52.07,457
Staphylococcus aureus GENE eap,,-,0.1,390904.0,43.08,43.08,839
Staphylococcus aureus GENE icaR,,-,0.1,389496.0,40.75,40.75,871
Staphylococcus aureus GENE cap1A,,-,0.08,341026.0,51.96,52.5,29
Staphylococcus aureus GENE esaB,,-,0.07,294890.0,47.0,47.0,224
Staphylococcus aureus GENE traL,,-,0.07,288539.0,48.39,48.39,280
Staphylococcus aureus GI 33390945,,-,0.07,274760.0,68.18,68.18,45
Staphylococcus aureus GENE traG,,-,0.07,273347.0,46.8,46.8,233
Staphylococcus aureus GENE SEntN,,-,0.06,257503.0,41.29,41.29,303
Staphylococcus epidermidis GeneID SEA1545,,-,4.91,19622271.0,100.0,100.0,24040
Staphylococcus lentus GENE repL,,-,0.25,983393.0,69.91,69.91,1143
Staphylococcus lentus GENE pre,,-,0.09,347767.0,52.13,52.13,426
Enterococcus faecium GI 21886745,,-,0.17,674356.0,81.67,52.94,17
Streptococcus pyogenes GI 52345271,,-,0.08,319449.0,50.57,50.57,210
